sno,route_id,stop_id,stop_name
11,L14B,12,Nirmal Ch. St.
12,L14B,13,S.N. Banerjee Rd.
13,L14B,14,Lenin Sarani (return journey)
14,L14B,15,B.B.D. Bag (during office hours via B.B. Ganguly St.)
15,L14C,1,Bagbazar
16,L14C,2,Salt Lake Depot
17,L14C,3,A.P.C. Rd.
18,L14C,4,Khanna Cinema
19,L14C,5,Ultadanga Main Road
20,L14C,6,Hud Co.
21,L14C,7,P.N. Bank
22,L14C,8,Avenue No.1
23,L14C,9,Baisakhi
24,L14C,10,Water Tank No.9
25,L14C,11,Karunamayee
26,15,1,Ultadanga Stn.
27,15,2,Howrah Stn.
28,15,3,Ultadanga Main Rd.
29,15,4,Arabinda Setu
30,15,5,Grey St.
31,15,6,Extn.
32,15,7,Arabinda Sarani
33,15,8,Sovabazar
34,15,9,B.K. Paul Avenue
35,15,10,Ahiritola St.
36,15,11,Nimtalla Ghat St.
37,15,12,Strand Road
38,15A,1,Chetla
39,15A,2,B.B.D. Bag (morning & evening office hours)
40,15A,3,Acharya J.C. Bose Rd.
41,15A,4,S.N. Banerjee Rd.
42,15A,5,Esplanade
43,15A,6,Octerlony Rd.
44,15A,7,Old Court House St.
45,15A,8,Lalbazar St.
46,15A,9,B.B. Ganguly St.
47,15A,10,Sealdah Stn.
48,15A,11,Acharya J.C. Bose Road
49,16,1,Dhakuria
50,16,2,Shibpur (Tram Depot)
51,16,3,Gariahat Rd.
52,16,4,Hazra Rd.
53,16,5,Ritchie Rd.
54,16,6,Promothesh Barua Sarani
55,16,7,Acharya J.C. Bose Rd.
56,16,8,Sealdah fly over
57,16,9,Mahatma Gandhi Rd.
58,16,10,Howrah Stn.
59,16,11,Howrah Maidan
60,16,12,G.T. Road (South)
61,L19,1,Esplanade
62,L19,2,Metiabruz
63,L19,3,Dufferin Rd.
64,L19,4,Pranabananda Sn.
65,L19,5,Kidderpore Rd.
66,L19,6,Cir. Garden Reach Rd.
67,L19,7,Dumayun Ave.
68,L19,8,B.N.R. Office
69,L19,9,Cir. Garden Reach Rd.
70,L19,10,Paharpur Rd.
71,L19,11,Cir. Garden Reach Rd.
72,L19,12,Akhra Rd.
73,L19,13,Every alternate bus plies via Paharpur Road
74,L20,1,Esplanade
75,L20,2,Barrackpur (Court)
76,L20,3,Chittaranjan Ave.
77,L20,4,Jatindra Mohan Ave.
78,L20,5,Bhupen Bose Ave.
79,L20,6,Shyambazar
80,L20,7,B.T. Road
81,L20,8,Lalkuthi Junction
82,L20A,1,Ultadanga
83,L20A,2,Barasat
84,L20A,3,Arabinda Setu
85,L20A,4,A.P.C. Rd.
86,L20A,5,B.T. Road
87,L20A,6,Barrackpore Stn.
88,L20A,7,Mohanpur
89,L20A,8,Nilgunj Bazar
90,L20A,9,Akrampur
91,L20B,1,Esplanade
92,L20B,2,Barasat
93,L20B,3,Victoria House
94,L20B,4,C.R. Ave.
95,L20B,5,Bow Bazar
96,L20B,6,Mahajati Sadan
97,L20B,7,Beadon St.
98,L20B,8,Grey St.
99,L20B,9,Shyambazar
100,L20B,10,R.G. Kar Medical College
101,L20B,11,Belgachia
102,L20B,12,Paikpara
103,L20B,13,Dutta Bagan
104,L20B,14,Patipukur
105,L20B,15,Lake Town
106,L20B,16,Bangur Ave.
107,L20B,17,Nager Bazar
108,L20B,18,Clive Colony
109,L20B,19,Gora Bazar
110,L20B,20,H.M.V. Gate
111,L20B,21,Airport Gate No. 1,2,3
112,L20B,22,Birati
113,L20B,23,Michael Nagar
114,L20B,24,B.T. College
115,L20B,25,Doltala
116,L20B,26,Madhyamgram
117,L20B,27,Fourpoint Crossing
118,L20B,28,Dak Bangalow
119,L20B,29,Dakshinpara
120,L20B,30,Sethpukur
121,L20B,31,Colony More (Nabapalli)
122,L20B,32,Haritala
123,L22,1,Sibrampur Oxytown
124,L22,2,Esplanade
125,L22,3,Behala Sakherbazar
126,L22,4,Diamond Harbour Rd.
127,L22,5,Taratala Rd.
128,L22,6,Brace Bridge
129,L22,7,Hide Rd
130,L22,8,Garden Reach Rd.
131,L22,9,Babu Bazar
132,L22,10,Kidderpore Bridge
133,L22,11,Kidderpore Rd.
134,L22,12,Strand Rd.
135,L30B,1,Esplanade
136,L30B,2,Dum Dum Airport
137,L30B,3,Chittaranjan Ave.
138,L30B,4,J.M. Ave.
139,L30B,5,Bhupen Bose Ave.
140,L30B,6,Shyambazar
141,L30B,7,Hemanta Setu
142,L30B,8,B.T. Rd.
143,L30B,9,Chiria More
144,L30B,10,Dum Dum Rd.
145,L30B,11,Nager Bazar
146,L30B,12,Jessore Road

sno,route_id,stop_id,stop_name
0,L31,1,Esplanade
1,L31,2,B.B.D. Bag
2,L31,3,Brabourne Rd.
3,L31,4,Howrah Stn.
4,L31,5,Dobson Rd.
5,L31,6,Abani Dutta Rd.
