sno,route_id,stop_id,stop_name
62,7LTD,63,Byculla Station (E) / Sant Savta Market
63,7LTD,64,Byculla Station (E)
64,7LTD,65,Byculla Railway Station (E)
65,7LTD,66,A.H Ansari Chowk (Nagpada)
66,7LTD,67,AH Ansari Chowk (New Nagpada)
67,7LTD,68,Dr.M.Iqbal Chowk (J.J.Hospital)

sno,route_id,stop_id,stop_name
0,8LTD,1,Shivaji Nagar (Govandi) Terminus
1,8LTD,2,Shivaji Nagar (Govandi) Post Office
2,8LTD,3,Shivaji Nagar Junction (Govandi)
3,8LTD,4,Gautam Nagar / Deonar Abattoir
4,8LTD,5,Samrat Ashok Nagar
5,8LTD,6,Dadoji Kondev Nagar (Khardev Nagar)
6,8LTD,7,Acharya Marathe College
7,8LTD,8,Subhash Nagar Chembur (E)
8,8LTD,9,Chembur Station (Dr.Ambedkar Garden)
9,8LTD,10,Dr.B.R Ambedkar Udyan (Chembur) Bus Station
10,8LTD,11,Dr.B.R Ambedkar Udyan (Chembur)
11,8LTD,12,10th Road Chembur
12,8LTD,13,Acharya Udyan
13,8LTD,14,Sandu Wadi
14,8LTD,15,Chembur Naka (Swami Vivekanand Chowk)
15,8LTD,16,Umarshi Bappa Chowk (Chembur)
16,8LTD,17,Lokshahir Annabhau Sathe Udyan / Suman Nagar
17,8LTD,18,Priyadarshini
18,8LTD,19,Everard Nagar
19,8LTD,20,Highway Apartment
20,8LTD,21,Rani Laxmibai Chowk Sion
21,8LTD,22,Lokmanya Tilak Hospital / Sion Hospital Flyover
22,8LTD,23,Maheshwari Udyan (Kings Circle)
23,8LTD,24,Kapole Niwas / J.N. Verma Chowk
24,8LTD,25,Khodadad Circle (Dadar T.T.)
25,8LTD,26,Shinde Wadi
26,8LTD,27,Madkebuwa Chowk (Parel)
27,8LTD,28,Parel Workshop
28,8LTD,29,Sant Jagnade Chowk (Lalbaug)
29,8LTD,30,Jaihind Cinema
30,8LTD,31,Jijamata Udyan
31,8LTD,32,Byculla Station (E)
32,8LTD,33,A.H Ansari Chowk (Nagpada)
33,8LTD,34,AH Ansari Chowk (New Nagpada)
34,8LTD,35,Dr.M.Iqbal Chowk (J.J.Hospital)
35,8LTD,36,Johar Chowk (Bhendi Bazar)
