sno,route_id,stop_id,stop_name
9,1P/25S,10,Himmathpura / Shali Banda
10,1P/25S,11,Chowmahalla Palace
11,1P/25S,12,Khilwat
12,1P/25S,13,Lad Bazar
13,1P/25S,14,Moosa Bowli
14,1P/25S,15,City College
15,1P/25S,16,High Court
16,1P/25S,17,Nayapul
17,1P/25S,18,Afzalgunj
18,1P/25S,19,Afzalgunj Central Library
19,1P/25S,20,Central Bus Station (CBS)
20,1P/25S,21,Chaderghat
21,1P/25S,22,Koti Womens College
22,1P/25S,23,Koti Maternity Hospital
23,1P/25S,24,Ramkoti
24,1P/25S,25,Kachiguda X Road
25,1P/25S,26,YMCA
26,1P/25S,27,Narayanaguda
27,1P/25S,28,Chikkadpally
28,1P/25S,29,R.T.C X Road
29,1P/25S,30,Golconda X Road
30,1P/25S,31,Care Hospital
31,1P/25S,32,Musheerabad Police Station
32,1P/25S,33,Gandhi Hospital
33,1P/25S,34,Bhoiguda
34,1P/25S,35,Chilkalguda
35,1P/25S,36,TSRTC Rathifile Bus Station
36,1P/25S,37,Secunderabad Railway Station
37,1P/25S,38,Secunderabad Bus Station
38,1P/25S,39,Parade Ground Metro Station
39,1P/25S,40,Patny
40,1P/25S,41,Jubilee X Road
41,1P/25S,42,Jubilee Bus Station
42,1P/25S,43,Vikrampuri
43,1P/25S,44,Vikarampuri
44,1P/25S,45,Karkhana
45,1P/25S,46,Karkhana Circle
46,1P/25S,47,Tirumalagiri
47,1P/25S,48,Hanuman Temple
48,1P/25S,49,Trimulgherry X Road
49,1P/25S,50,Thirumalagiri
50,1P/25S,51,Sri Nagar (Lal Bazar)
51,1P/25S,52,Lal Bazar Bus Stop
52,1P/25S,53,Mceme
53,1P/25S,54,Maruti Nagar
54,1P/25S,55,Lothkunta
55,1P/25S,56,Ram Nagar – Alwal
56,1P/25S,57,Alwal
57,1P/25S,58,Golnaka
58,1P/25S,59,Alwal Police Station
59,1P/25S,60,Temple Alwal
60,1P/25S,61,Old Alwal Z.P.H.S.
61,1P/25S,62,IG Statue Alwal
62,1P/25S,63,Father Balaya Nagar
63,1P/25S,64,P.V. Junction
64,1P/25S,65,Loyola Academy
65,1P/25S,66,Suchitra X Road

sno,route_id,stop_id,stop_name
0,90L/251,1,Shamshabad Bus Station
1,90L/251,2,Shamshabad Village
2,90L/251,3,Satamrai
3,90L/251,4,Gagan Pahad
4,90L/251,5,Budvel Railway Station
5,90L/251,6,AG Campus
6,90L/251,7,Shivarampally Railway Station
7,90L/251,8,Durga Nagar Babul Reddy Nagar
8,90L/251,9,Mailardev Pally / Durga Nagar
9,90L/251,10,Mylardevpally
10,90L/251,11,Palle Cheruvu / Odamgudda
11,90L/251,12,Moghal Engineering College
12,90L/251,13,Bandlaguda
13,90L/251,14,Bandlaguda
14,90L/251,15,Kesavagiri
15,90L/251,16,Chandrayan Gutta
16,90L/251,17,DLRL
17,90L/251,18,Baba Nagar
18,90L/251,19,Chandrayangutta
19,90L/251,20,Anurag Lab
20,90L/251,21,DRDL
21,90L/251,22,Pisalabanda
22,90L/251,23,Owaisi Hospital
23,90L/251,24,Champapet X Roads
24,90L/251,25,Opp Manda Mallamma
25,90L/251,26,Gayatri Nagar X Road
26,90L/251,27,TKR Kaman / Shakti Nagar
